Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV Mean Accuracy,CV Std
Random Forest,0.819672131147541,0.7619047619047619,0.9696969696969697,0.8533333333333334,0.9123376623376622,0.8349489795918368,0.042554745156365856
SVM (RBF),0.819672131147541,0.775,0.9393939393939394,0.8493150684931506,0.8831168831168832,0.8019557823129251,0.03875293978509415
Logistic Regression,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8690476190476191,0.8308673469387754,0.04093078481123406
K-Nearest Neighbors,0.8032786885245902,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8630952380952381,0.8017857142857142,0.026844902751531514
Decision Tree,0.7049180327868853,0.7027027027027027,0.7878787878787878,0.7428571428571429,0.6975108225108225,0.7316326530612245,0.03969039442831873
